id,date,date_unixtime,professor_id,professor_name_clean,department,course_name_clean,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,grading_status,attendance_status,comment_clean,sentiment,cluster
11,,,167,امیر حسین کردبچه,,فیزیک 1,10,10,8,10,9,10,نامشخص,نامشخص,امیر حسین کردبچه فیزیک فیزیک ۱ منابع آموزش یادم نمیاد حضور و غیاب یادم نمیاد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن دست باز و با ارفاق ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 8 نحوه مدیریت کلاس نظم و زمان 10 پاسخگویی حضوری و غیرحضوری 9 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی akordbacheh iust ac ir ترمی که دانشجو با این استاد کلاس داشته مهر 97 توضیحات استاد فوق العاده خوش برخورد هستن برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,2
12,,,1002,محمدرضا زمانی,,ترمودینامیک1 ترمودینامیک2,10,10,10,5,10,10,منصفانه,نامشخص,محمدرضا زمانی فیزیک ترمودینامیک۱ ترمودینامیک۲ منابع آموزش در حین تدریس جزوه می نویسیم حضور و غیاب حضور مهم است و تاثیر مستقیم دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 10 نحوه مدیریت کلاس نظم و زمان 5 پاسخگویی حضوری و غیرحضوری 10 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی r_zamani iust ac ir ترمی که دانشجو با این استاد کلاس داشته مهر 99 توضیحات فکر نکنم صرف حضور در کلاس تاثیر مثبت داشته باشه ولی فعالیت خیلی مهمه براشون جزوشون کامله ولی کتاب مرجع هم معرفی میکنن برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,2
13,,,572,زینب موحدی,,مبانی کامپوتر برنامه نویسی پیشرفته,9,9,6,5,5,6,نامشخص,نامشخص,زینب موحدی مهندسی_کامپیوتر مبانی کامپوتر برنامه نویسی پیشرفته منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است خیر وضعیت نمره دادن نمره خوبی نمیشه ازشون گرفت ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 9 دانش عمومی 9 توانایی انتقال مطالب و نکات مهم درس 6 نحوه مدیریت کلاس نظم و زمان 5 پاسخگویی حضوری و غیرحضوری 5 آداب و رفتار اجتماعی با دانشجویان 6 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات ایشان دانش بالایی دارند اما متاسفانه از لحاظ نظم مدیریت زمان و دادن تمرین های پوشش دهنده ضعیف بودند و از همه بد تر اینکه اندازه تلاشت بهت نمره نمیده و معمولا همه حتی نفر اول کلاس هم از نمره اش ناراضیه من خودم به شخصه پیشنهاد نمیکنم برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,1
14,,,981,محمد واحدی,,فیزیک 2,8,10,10,9,8,10,منصفانه,نامشخص,محمد واحدی فیزیک فیزیک ۲ منابع آموزش یک کتاب مرجع معرفی می کند حضور و غیاب حضور مهم نیست اما تاثیر مثبت دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 8 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 10 نحوه مدیریت کلاس نظم و زمان 9 پاسخگویی حضوری و غیرحضوری 8 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی بله ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات من پیشنهاد میکنم برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,0
15,,,1231,وصال حکمی,,ریاضیات گسسته,3,10,1,3,7,10,نامشخص,نامشخص,وصال حکمی مهندسی_کامپیوتر ریاضیات گسسته منابع آموزش از جزوات ترم های گذشته استفاده می کند حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است خیر وضعیت نمره دادن نمره خوبی نمیشه ازشون گرفت ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 3 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 1 نحوه مدیریت کلاس نظم و زمان 3 پاسخگویی حضوری و غیرحضوری 7 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات چیزی اضافه ایی نیست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,0
16,,,303,حمید صفاری,,کارگاه تاسیسات,8,9,7,9,8,10,منصفانه,نامشخص,حمید صفاری مکانیک کارگاه تاسیسات منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور مهم است و تاثیر مستقیم دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 8 دانش عمومی 9 توانایی انتقال مطالب و نکات مهم درس 7 نحوه مدیریت کلاس نظم و زمان 9 پاسخگویی حضوری و غیرحضوری 8 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی saffari iust ac ir ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات در کل کارگاه تأسیسات به صورت مجازی درس ساده ای هست و با گوش کردن سر کلاس میشه راحت نمرۀ بالا گرفت امتحان پایان ترم نداشت و صرفا ۴ تا کوییز بود و یک ارائه فکر کنم حضور و غیاب هم حدود ۴ نمره داشت ضمنا اگر ارائه خوب باشه نمرۀ مثبت داره و می تونه کوییزها رو جبران کنه نمرۀ نهایی هم خیلی دقیق محاسبه میشه و تا ۲ نمره هم جای شیفت داره برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,1
17,,,1127,مهدی نویدبخش,,یاتاقان و روغنکاری,9,7,6,7,6,8,نامشخص,نامشخص,مهدی نویدبخش مکانیک یاتاقان و روغنکاری منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب یادم نمیاد منابع معرفی شده برای امتحان کافی است بهتره برای تمرین کتاب مرجع درس هم خونده بشه و این که خوبه سر کلاس با دقت جزوه بنویسین وضعیت نمره دادن دست باز و با ارفاق ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 9 دانش عمومی 7 توانایی انتقال مطالب و نکات مهم درس 6 نحوه مدیریت کلاس نظم و زمان 7 پاسخگویی حضوری و غیرحضوری 6 آداب و رفتار اجتماعی با دانشجویان 8 راه ارتباطی mnavid iust ac ir احتمالا شماره شونو هم سر کلاس میدن ترمی که دانشجو با این استاد کلاس داشته مهر 99 توضیحات درس دو واحدیه امتحانش دو قسمت داره قسمت مسائلش از لحاظ حجم محاسبات واقعا زیاده و باید قبلش زیاد تمرین کرده باشین یک ارائه هم داره که حدود ۶ ۷ نمره داشته باشه با این حال میانگین نمرات حدود ۱۶ ۱۷ بود برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,1
18,,,375,دکتر رامین هاشمی,,مکانیک محیط و آنالیز شکل دهی,9,9,9,7,8,10,نامشخص,نامشخص,دکتر رامین هاشمی مکانیک مکانیک محیط و آنالیز شکل دهی منابع آموزش یک کتاب مرجع معرفی می کند حضور و غیاب حضور مهم نیست اما تاثیر مثبت دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن دست باز و با ارفاق ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 9 دانش عمومی 9 توانایی انتقال مطالب و نکات مهم درس 9 نحوه مدیریت کلاس نظم و زمان 7 پاسخگویی حضوری و غیرحضوری 8 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی تلفن ترمی که دانشجو با این استاد کلاس داشته مهر 99 توضیحات خوبه کلا برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,2
19,,,535,روح الله طالبی توتی,,ارتعاشات مکانیکی,9,8,6,6,9,9,نامشخص,نامشخص,روح الله طالبی توتی مکانیک ارتعاشات مکانیکی منابع آموزش از جزوات ترم های گذشته استفاده می کند حضور و غیاب حضور مهم نیست اما تاثیر مثبت دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن دست باز و با ارفاق ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 9 دانش عمومی 8 توانایی انتقال مطالب و نکات مهم درس 6 نحوه مدیریت کلاس نظم و زمان 6 پاسخگویی حضوری و غیرحضوری 9 آداب و رفتار اجتماعی با دانشجویان 9 راه ارتباطی rtalebi iust ac ir ترمی که دانشجو با این استاد کلاس داشته بهمن 97 توضیحات حضوری داشتم در کل روند تدریس و برگزاری کلاس خوبه ظاهرا نمرۀ خوب هم میشه گرفت و میانگین نمرات دکتر طالبی از بقیه اساتید بالاتره کتاب مرجع معرفی می کنن ولی همون مطالب سر کلاس کفایت میکنه برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,1
20,,,579,ساسان آسیایی,,دینامیک ماشین,7,7,5,7,8,9,منصفانه,نامشخص,ساسان آسیایی مکانیک دینامیک ماشین منابع آموزش از جزوات دستنویس استفاده میکند همچنین در قسمت هایی از پاورپوینت استفاده میکند حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است تا حدودی وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 7 دانش عمومی 7 توانایی انتقال مطالب و نکات مهم درس 5 نحوه مدیریت کلاس نظم و زمان 7 پاسخگویی حضوری و غیرحضوری 8 آداب و رفتار اجتماعی با دانشجویان 9 راه ارتباطی asiaei iust ac ir ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات چیزی اضافه ایی نیست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,1
21,,,784,علی پارسا,,1 ریاضی 1 2 ریاضی 2,10,10,9,10,10,10,نامشخص,نامشخص,علی پارسا ریاضی 1 ریاضی ۱ 2 ریاضی ۲ منابع آموزش ۲ یا ۳ کتاب مرجع و جزوه ی دستنویس خود حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن نمره خوبی نمیشه ازشون گرفت ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 9 نحوه مدیریت کلاس نظم و زمان 10 پاسخگویی حضوری و غیرحضوری 10 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات خیلی خوبه برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,0
22,,,324,خالقی,,کارگاه تخصصی,10,8,8,8,8,9,نامشخص,نامشخص,خالقی مهندسی_صنایع کارگاه تخصصی منابع آموزش منبعی معرفی نمی کنند حضور و غیاب حضور مهم است و تاثیر مستقیم دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن دست باز و با ارفاق ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 8 توانایی انتقال مطالب و نکات مهم درس 8 نحوه مدیریت کلاس نظم و زمان 8 پاسخگویی حضوری و غیرحضوری 8 آداب و رفتار اجتماعی با دانشجویان 9 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات چیزی اضافه ایی نیست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,0
23,,,896,محبوبه مولوی عربشاهی,,محاسبات عددی,10,10,8,9,9,10,نامشخص,نامشخص,محبوبه مولوی عربشاهی ریاضی محاسبات عددی منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور مهم است و تاثیر مستقیم دارد منابع معرفی شده برای امتحان کافی است تا حدودی وضعیت نمره دادن دست باز و با ارفاق ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 8 نحوه مدیریت کلاس نظم و زمان 9 پاسخگویی حضوری و غیرحضوری 9 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات ارفاق بستگی به فعالیت و حضور مفید دانشجو داره سر کلاس سوالای ساده ای میپرسن آخر هر جلسه تمرینای ساده ای میزارن که با خوندن جزوه میشه بهشون پاسخ داد حین تدریس از اکسل استفاده میکنن و یاد میدن و سر امتحان هم اکسل و متلب و قبول میکنن ولی اجباری نیست فعال بودن شمارو تو کلاس میتونن کنار اسمتون ببینن اگه صفحه کلاس رو ببینید زرد و بعد قرمز میشه اما اگه صفحه لپتاپ یا گوشیتون سر کلاس باشه سبز میشه اگه حضور مفید داشته باشید هم خیلی خوب درسو متوجه میشید و واستون ساده میشه و هم استاد هم ارفاق خوبی میکنه برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,1
24,,,913,محمد اخلاقی,,سیالات 1,8,6,6,6,4,4,منصفانه,نامشخص,محمد اخلاقی مکانیک سیالات ۱ منابع آموزش از روی کتاب مانسون درس میدهند و مرجع اصلی همین کتاب است حضور و غیاب حضور مهم است و تاثیر مستقیم دارد منابع معرفی شده برای امتحان کافی است باتوجه به اینکه حدود نیمی از سوالات امتحان مفهومی و توضیحی است لازم است که جزوه نوشته شود یا جزوه ترم های قبل خوانده شود وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 8 دانش عمومی 6 توانایی انتقال مطالب و نکات مهم درس 6 نحوه مدیریت کلاس نظم و زمان 6 پاسخگویی حضوری و غیرحضوری 4 آداب و رفتار اجتماعی با دانشجویان 4 راه ارتباطی mohammad akhlaghi iust ac ir ترمی که دانشجو با این استاد کلاس داشته مهر 99 توضیحات حضور غیاب بسیار مهم است و بین 5 تا 8 نمره را شامل میشود مابقی نمره شامل امتحان پایانترم و میانترم است که در دوران مجازی به شدت وقت کم میدادند برای امتحان اما باز هم میشد مقدار قابل قبولی نوشت سوالات یکی یکی نمایش داده میشه حدودا 200تا تمرین و تحقیق میدهند که با یک سرچ اونارو پیدا میکنید اما همه چی بستگی داره که نماینده کلاس و تی ای های استاد خوب باشند که در این صورت اصلا سخت گیری نمیکنند و نمره تمارین رو کامل میدهند آخر ترم هم باید داخل یک سی دی تمام تمارین و امتحانا و کلا هرچیزی رو که انجام دادید براش پست کنید یا حضوری ببرید برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,1
25,,,622,سمانه قندهاریون,,ترمودینانیک2,10,9,9,9,8,10,منصفانه,نامشخص,سمانه قندهاریون مکانیک ترمودینانیک۲ منابع آموزش یک کتاب مرجع معرفی می کند حضور و غیاب حضور مهم است و تاثیر مستقیم دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 9 توانایی انتقال مطالب و نکات مهم درس 9 نحوه مدیریت کلاس نظم و زمان 9 پاسخگویی حضوری و غیرحضوری 8 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی منصفانه و هرچی خودت بگیری ترمی که دانشجو با این استاد کلاس داشته بهمن 98 توضیحات چیزی اضافه ایی نیست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,0
